dataset,paper_code,cohort,child_id,age,instrument,input_rate,log_input,units
fmw_2013,FMW2013,elena,6358,18,LENA,2547.136364,7.84272501261186,adult words / hour
fmw_2013,FMW2013,elena,6358,24,LENA,2344.125242,7.759667580156896,adult words / hour
fmw_2013,FMW2013,elena,6367,18,LENA,1556.762984,7.350363934170646,adult words / hour
fmw_2013,FMW2013,elena,6368,18,LENA,1346.533333,7.205288667236743,adult words / hour
fmw_2013,FMW2013,elena,6368,24,LENA,2169.410197,7.682210610973055,adult words / hour
fmw_2013,FMW2013,elena,6377,18,LENA,920.0425532,6.824419922451688,adult words / hour
fmw_2013,FMW2013,elena,6377,25,LENA,1418.403523,7.257287238541459,adult words / hour
fmw_2013,FMW2013,elena,6378,24,LENA,2062.535036,7.631691105216071,adult words / hour
fmw_2013,FMW2013,elena,6403,18,LENA,1758.987997,7.472493920950774,adult words / hour
fmw_2013,FMW2013,elena,6403,24,LENA,2122.989474,7.660580503612773,adult words / hour
fmw_2013,FMW2013,elena,6408,18,LENA,1462.046512,7.287592453757159,adult words / hour
fmw_2013,FMW2013,elena,6408,24,LENA,1472.874843,7.294971445439253,adult words / hour
fmw_2013,FMW2013,elena,6414,18,LENA,1207.658367,7.096438529721983,adult words / hour
fmw_2013,FMW2013,elena,6414,24,LENA,912.1124874,6.8157633239157684,adult words / hour
fmw_2013,FMW2013,elena,6429,18,LENA,2084.865699,7.6424597192086585,adult words / hour
fmw_2013,FMW2013,elena,6429,24,LENA,3025.940672,8.014977288075466,adult words / hour
fmw_2013,FMW2013,elena,6433,18,LENA,603.3134328,6.4024368507383755,adult words / hour
fmw_2013,FMW2013,elena,6433,24,LENA,1551.444444,7.346941675319504,adult words / hour
fmw_2013,FMW2013,elena,6440,18,LENA,2478.207739,7.815290892008604,adult words / hour
fmw_2013,FMW2013,elena,6440,24,LENA,1459.606783,7.285922351715101,adult words / hour
fmw_2013,FMW2013,elena,6446,18,LENA,663.6642499,6.49777637385254,adult words / hour
fmw_2013,FMW2013,elena,6446,24,LENA,764.3350275,6.639006210715904,adult words / hour
fmw_2013,FMW2013,elena,6516,18,LENA,1322.454905,7.1872450648524175,adult words / hour
fmw_2013,FMW2013,elena,6516,25,LENA,1877.60032,7.537749814967136,adult words / hour
fmw_2013,FMW2013,elena,6517,18,LENA,1615.765609,7.387564184625508,adult words / hour
fmw_2013,FMW2013,elena,6517,24,LENA,2163.623293,7.679539545792529,adult words / hour
fmw_2013,FMW2013,elena,6592,18,LENA,3954.133545,8.282516777818785,adult words / hour
fmw_2013,FMW2013,elena,6592,24,LENA,1869.593112,7.533476099007335,adult words / hour
fmw_2013,FMW2013,elena,6613,18,LENA,1973.598589,7.58761385027772,adult words / hour
fmw_2013,FMW2013,elena,6613,24,LENA,2287.506773,7.73521775801961,adult words / hour
