word,sc,mid,rng,kappa,count,total_tokens,logfreq
gentle,0.28903864083177805,1.6279744551024622,1.8561036575310315,1.5015293413747755,9079,378750562,3.958038016098337
get,0.3266905160091496,-0.09751511976233464,8.783110144799688,1.328474439055479,256513,378750562,5.409109379916443
give,1.9679861368886926,-0.9129475348497502,9.77029892992422,0.22053000875612702,78910,378750562,4.897132043382094
glass,0.28637839576874746,1.612235942249215,2.9218947414426824,1.5154774466662562,27028,378750562,4.431813910252937
glasses,0.12585881566611493,1.6717366051624611,3.926601087931525,3.448308310411395,8179,378750562,3.91270020819086
go,1.87681245638119,-0.7324442643680124,9.859738823355672,0.23124313701371363,127898,378750562,5.106863753268685
good,0.7268101084752241,-0.4653341733731012,8.5395719984435,0.5971298347934224,174517,378750562,5.2418377387254855
grass,0.11250380240910249,1.5250812099778552,2.093350772151097,3.857647392412808,28397,378750562,4.453272461446164
green,0.12670540578345263,1.6451013450984222,1.7759130411602904,3.425268222113055,52055,378750562,4.716462450813294
gum,0.1763232228479715,1.7562939275468337,4.732197198040365,2.4613887665506273,7826,378750562,3.8935398435646613
hair,0.5402149814815892,1.2540909231540351,3.363364705792937,0.803383865456147,32538,378750562,4.512390854819099
hand,0.6884172743768586,1.2582139718829592,4.007247057995836,0.6304315945483036,94149,378750562,4.9738157115349635
happy,0.21680754665375748,1.440498123831876,2.695256383177542,2.0017753380748307,19328,378750562,4.286186916941038
hard,0.6520924298000815,-0.5866803395265812,6.54630907912739,0.6655498211090346,78103,378750562,4.892667715803331
have,0.45272679681241934,-0.01867982018406746,10.269030486982558,0.9586355458871181,1018533,378750562,6.0079751045052845
he,1.1127692658210802,-0.49500285291476387,9.369809486013324,0.3900179608930554,254889,378750562,5.406351093443442
head,0.17531219986205196,1.8323750087696087,3.004552423675171,2.4755835608788317,79304,378750562,4.899295093170268
hear,0.02000177788999659,1.7182665956061274,2.059464758946416,21.698071160816895,20622,378750562,4.3143307825208685
heavy,0.21553446507710866,1.3723789777290898,1.295679657610889,2.0135990772739483,25708,378750562,4.410068291238362
help,0.4797252529101302,-0.11958531891565848,9.867853229507295,0.904684498819377,251464,378750562,5.40047581952939
her,0.2380631080685489,1.5454952281489032,3.3869679123005776,1.82304601297162,138587,378750562,5.1417224936736465
here,0.21367872936388133,1.1910444237813123,1.5353842129553614,2.031086581673394,91894,378750562,4.963287156087327
high,0.8491147077351202,-0.6523772310896514,8.194283053436354,0.5111205777575407,196172,378750562,5.292637019795818
him,0.3767058245300947,1.2129946841632393,2.831930380578907,1.1520926190652199,53468,378750562,4.728093939379775
his,0.30079247410016274,1.5371031178442087,3.2246646152236904,1.4428552486172896,172229,378750562,5.236106279983945
hit,0.01873055662384485,1.5369718222534692,1.6999261269109267,23.170694214580802,22120,378750562,4.34478512263266
hold,2.825855716890493,-2.125302950090643,7.605209784514008,0.15358179733166408,33835,378750562,4.529366180819488
home,1.5918866699241636,-0.29029571952708194,9.89815283312835,0.27263247327818596,131776,378750562,5.119836320601919
horse,0.06527176173267274,1.5691399611303194,1.425075136515951,6.649123426107172,24959,378750562,4.397227181043161
hot,0.18321029178702175,1.3841738755436723,1.9208197477933773,2.3688625555190765,49476,378750562,4.694394580848983
how,1.0194148794044786,0.007506277504263044,11.44109166093616,0.4257344176235037,346735,378750562,5.539997682266921
hurt,0.21038834035383525,1.1883482908162424,2.036502997876303,2.062851958763923,7028,378750562,3.8468317528232574
i,0.1267650622176668,1.2331903644679274,1.4152339864271601,3.4236562693810986,63591,378750562,4.8033956545333405
ice,0.38111208046280753,1.3948285608611057,2.5426724334936184,1.1387726137491299,35719,378750562,4.552899291746152
if,0.6851916681178066,-0.286249751459347,9.352259598802899,0.6333994124478778,419406,378750562,5.622634639167599
inside,0.23776484608178564,1.3876570589790662,1.6613705214423176,1.825332916753867,48910,378750562,4.689397662821282
into,0.8500673265557189,-0.06806125216255625,11.137556400167796,0.5105477959710204,397168,378750562,5.598974249935965
is,0.13623817182655448,0.4185389645628854,6.4259772017942005,3.1855976499194925,3641254,378750562,6.561250974718312
it,0.31105596834067584,0.01582485137365542,10.292737831691571,1.3952473000764702,1715849,378750562,6.2344790659414535
juice,0.187520835379495,1.2898431387886815,5.486421882036933,2.3144094848004126,8794,378750562,3.9441864612836874
jump,0.1720805981380129,1.863523283195452,1.9145520859166574,2.522073985655961,14445,378750562,4.159717546180215
kitchen,0.2470848383768306,1.609778101085923,2.488009055694852,1.7564817123181955,16669,378750562,4.221909546588134
knife,0.1656801826170576,1.6226570782554444,3.305758993860624,2.619504597017009,7392,378750562,3.8687619582120503
last,0.278074720609812,1.7000574891461442,1.6131162847882328,1.560731586993047,85709,378750562,4.93302642805054
later,0.3750062041805492,1.7440538805698436,2.2979592622331673,1.1573141861702316,44780,378750562,4.651084089243011
lawn,0.05892848110827838,1.6274764899790661,2.661360993185454,7.364859773028002,12787,378750562,4.106768665176806
light,0.19746109059548125,1.5677097232860862,2.9833284177379893,2.1979013621933867,145009,378750562,5.161394957607659
like,0.6193481150523583,-0.1478179300196465,9.770045433920544,0.7007367737985456,388893,378750562,5.589830125999778
listen,0.09551524299782285,1.6676083903733208,1.8695728658831063,4.543777373941167,10475,378750562,4.020154031638333
little,0.6492455032914367,-0.5194492289990249,7.634560181441891,0.6684682416740341,88168,378750562,4.9453109893823255
living,0.14155056466614252,1.443871049521581,1.3210119623368053,3.06604216679475,47222,378750562,4.6741443768674396
long,0.8841220455538261,-0.45865931885182154,8.717046348554103,0.4908824547273182,176726,378750562,5.2473004477856104
look,0.7505422202733375,1.1115006288731895,4.396154919414554,0.5782486158366187,110220,378750562,5.042260406689452
loud,0.11325429573771531,1.6812055415706568,3.4413774978761955,3.8320842240288795,8072,378750562,3.906981153228854
love,0.37079432549513075,1.2979599779994422,2.8829795767001167,1.1704601989808479,51611,378750562,4.712742273917355
make,0.7507781377533551,-0.43032046651092815,8.910156221513315,0.5780669124153123,296957,378750562,5.472693567112762
man,0.013502509056625383,0.012376215452884568,1.345790232146534,32.142174330706766,78158,378750562,4.8929734376084015
me,0.2814233182685679,1.8044254861229585,3.165157521349828,1.5421607657465863,136225,378750562,5.134256816576147
meat,0.2344286487915539,1.5534601822108745,3.113707973472409,1.8513095657770833,36343,378750562,4.5604207740911615
medicine,0.18123865276207196,1.681094543407932,3.133008466864527,2.3946326756784617,16167,378750562,4.208629438315688
money,0.2842047894195967,1.4711410556059283,3.8065655693473577,1.5270678614752242,45271,378750562,4.655820087817215
more,0.42573734968357485,-0.09956832066502008,9.51771950065717,1.0194078586775774,646382,378750562,5.810489254001804
